galaxy,C_kin,C_conc,f_dm,f_gas,Vmax,Rmax,N_points,fdm_0.0_0.2,fdm_0.2_0.4,fdm_0.4_0.6,fdm_0.6_0.8,fdm_0.8_1.0,T,log_Vmax
UGC08286,0.5682097360111387,0.4809026940964728,0.8490204265841388,0.3791037270284241,84.3,8.04,17,0.807537735308152,0.8436067186355688,0.8204420589909774,0.8378110570421798,0.8487967799041751,,1.9258275746247424
UGC08490,0.5392551404020058,0.35882141125543193,0.8739445480198315,0.45262449682135897,80.1,10.15,30,0.7314446856239504,0.7950269128192327,0.8322442996797609,0.8636228778592924,0.873097110453917,,1.9036325160842376
UGC08550,0.4487919560157681,0.4491998899952997,0.830645780131019,0.463663396550368,57.8,5.36,11,0.7711750566089968,0.7734971859004747,0.8333723654187228,0.8666856452521029,0.837760587020725,,1.761927838420529
UGC08699,0.18960680220027828,0.3773726680583474,0.7156263755939745,0.03289415320340431,202.0,25.7,41,0.28936054323641225,0.5902677928639594,0.6692047230200142,0.7494263400926902,0.7963742104001081,,2.305351369446624
UGC08837,0.7467601130241516,0.5474778520594415,0.6353856491008819,0.44653966512167553,48.0,4.2,8,-0.42369952148451273,0.37929409800012076,0.439652233381037,0.5698686559494283,0.6472806185415094,,1.6812412373755872
UGC09037,0.729118924583566,0.4059357601279385,0.5661206233510835,0.22457501426104573,160.0,27.96,22,-0.6307318738491182,0.20207959416305515,0.3861689231352724,0.5346061785743106,0.5627818003323792,,2.2041199826559246
UGC09133,0.5446240806796562,0.3559841137102855,0.7936940494301856,0.03681146921386457,289.0,108.31,68,0.36855442389001924,0.6346355517336046,0.7475226380510047,0.7879019966468069,0.8100290467763066,,2.4608978427565478
UGC11455,0.41072249395065996,0.48650527049223263,0.5577543980232699,0.026166222052669438,291.0,41.93,36,0.03733211770405202,0.31303818491775426,0.4193100482639885,0.5086453700473466,0.6412841601865598,,2.4638929889859074
UGC11557,0.711667669867382,0.5244174782982346,0.27719780174857916,0.09891776357093736,85.0,10.56,12,-5.919491934860012,-0.14808094082369602,0.2597667155038855,0.18495333308195105,0.24054469735197992,,1.9294189257142926
UGC11820,0.0038106079425876942,0.14344430216165616,0.7776201034682009,0.7074493016422689,84.45,15.82,10,0.7974318815849194,0.8176950624943352,0.7682547763907255,0.7460913371677937,0.7824946821301775,,1.9265996539070276
UGC11914,0.1808205836785629,0.5126924832929205,0.4687045255212407,0.0035072882731831925,305.0,9.83,65,0.4232495685985897,0.42316171179436307,0.42679399721478684,0.45528831422064214,0.5701218186352865,,2.484299839346786
UGC12506,0.7857477019166743,0.38237819058993827,0.7580568024506177,0.22527834494208177,255.0,49.99,31,0.8168200162287689,0.7131150511121191,0.7370971451225206,0.7665475860696763,0.7624997388261322,,2.406540180433955
UGC12632,0.797869723694261,0.4673722959412664,0.7581416439391854,0.5310023812299866,73.2,10.66,15,0.8212870929810465,0.8424305211558192,0.8431845975971326,0.7916931270107356,0.7629546654704977,,1.8645110810583918
UGC12732,0.818482440992096,0.40765406817576993,0.7852754819924839,0.59713005423793,98.0,15.4,16,0.8167175855936923,0.8450603845345629,0.8444394681059105,0.8299970401335951,0.7880723089762341,,1.9912260756924949
UGCA442,0.721868656228459,0.3676412679352366,0.866760264635322,0.8346042389972655,57.8,6.33,8,0.7719328870977682,0.715287031528852,0.7770958190876922,0.8325375515567628,0.8732972246500881,,1.761927838420529
UGCA444,0.005132093889869334,0.5336016139491566,0.803830076436931,0.9404727870393502,38.3,2.62,36,0.904404427968004,0.7483879140860671,0.6894203841277818,0.7526702914846488,0.8024727793332135,,1.5831987739686226
