galaxy,C_kin,C_conc,f_dm,f_gas,Vmax,Rmax,N_points,fdm_0.0_0.2,fdm_0.2_0.4,fdm_0.4_0.6,fdm_0.6_0.8,fdm_0.8_1.0,T,log_Vmax
NGC1705,0.6391703931887935,0.19564414052066748,0.9228645096155269,0.3051616954344924,73.2,6.0,14,0.7408085981509264,0.8131395153051366,0.8719413886451769,0.9106915341959371,0.9228055325782123,,1.8645110810583918
NGC2366,0.38759728737268634,0.4053788038340595,0.6773170028229414,0.7249567100108214,53.7,6.06,26,0.4259493593945999,0.6205212803258029,0.7024222801583391,0.7166672579138978,0.6762768424375059,,1.7299742856995557
NGC2403,0.0020535597095412126,0.4166367818108568,0.8172456124817209,0.2029764216003301,136.0,20.87,73,0.47706663803256744,0.6720653450790584,0.7446118030694974,0.7949119509611845,0.8412981250682485,,2.1335389083702174
NGC2683,0.8797570376712343,0.36639992631437907,0.7567048471930352,0.029487381553313406,212.0,34.62,11,0.33222027694229583,0.515845281999835,0.6197355450615346,0.63215316,0.7520061754428573,,2.326335860928751
NGC2841,0.2931388506066853,0.5221145582699225,0.8435528333085295,0.07850555541280878,323.0,63.64,50,0.587880389416673,0.7040417639662667,0.7902501160832597,0.8149006283221686,0.8599955820355721,,2.509202522331103
NGC2903,0.06429988985942511,0.4179793495158303,0.7159458872744879,0.030791334710595867,216.0,24.96,34,-0.9879070729042846,0.3762271980565021,0.5639829542590415,0.6623372142311708,0.720563734074517,,2.3344537511509307
NGC2915,0.21566746488934221,0.28687719557691416,0.9254270161243946,0.359875001151249,86.5,10.04,30,-0.7069326075400506,0.8822269368444964,0.9203440323673635,0.9232045306966796,0.9251995498438275,,1.9370161074648142
NGC2955,0.18764864605037965,0.38110237453042195,0.49559776801102906,0.0505067229515935,276.0,35.43,24,0.2904990067069326,0.2805689879015273,0.4754808046737307,0.4897169466536619,0.5255176777120187,,2.4409090820652177
NGC2976,0.010517272459763796,0.6372090010775523,0.4424699937919381,0.15680719881604271,88.7,2.27,27,0.0506546385902882,0.41131363569336993,0.43040090430421457,0.3967538540180312,0.48180762910247305,,1.9479236198317265
NGC2998,0.39542865548068523,0.25918571862584494,0.6802900211220537,0.11473311795253664,214.0,42.28,13,0.6276613101494839,0.48133392326840774,0.5570512658788418,0.6473431543671861,0.6888506954087592,,2.330413773349191
NGC3109,0.51407571505422,0.48119462236539146,0.8939493664403962,0.7299947003536802,67.3,6.45,25,0.8307767144524225,0.816413018799706,0.854091710160015,0.8830116952304132,0.8928916388903749,,1.8280150642239767
NGC3198,0.1359261861226058,0.45251307806707075,0.7889568966444871,0.1274765334422497,157.0,44.08,43,0.26599289646250296,0.6418473401364245,0.7443063677387387,0.7771656800497412,0.8023785209326759,,2.1958996524092336
NGC3521,0.025187794966798918,0.39887939602100986,0.4570482056115899,0.012528603944147539,220.0,17.74,41,0.16272556349094727,0.23955121412184097,0.4739350986394557,0.5789316497297037,0.6524156341313978,,2.342422680822206
NGC3726,0.8348298422400262,0.4538650576333484,0.748073779901654,0.10367876880342579,169.0,32.52,12,0.11057737565105741,0.34867556269181565,0.3714775736534779,0.5980447464348662,0.7381939024890043,,2.2278867046136734
NGC3741,0.24276063272336093,0.32521938244898213,0.9212592223545808,0.7765927597243351,51.6,7.0,21,0.7343295190973248,0.8788026214563461,0.9060867029199117,0.9098753093750761,0.9209989145048395,,1.7126497016272113
NGC3769,0.7699019778827575,0.3144436152221284,0.8368449025734722,0.18914646038798597,126.0,37.16,12,0.24399536938709598,0.6523388608112203,0.7525244289169578,,0.8370844949832407,,2.100370545117563
NGC3877,0.74711608837905,0.5725371600242393,0.3073237863073914,0.0314851870598179,171.0,11.35,13,-1.3308538546246165,0.5332073811226092,0.4210859524793168,0.2927618588731404,0.2921962401907534,,2.2329961103921536
NGC3893,0.8653888462104972,0.3153122595299675,0.6711728625757053,0.09441359315759834,194.0,19.05,10,0.13556704310344836,0.4230680740391487,0.5386778641445313,0.6326772727272727,0.6698591737445145,,2.287801729930226
NGC3917,0.7915038457953766,0.516872262930625,0.7072712813096158,0.10571973216611547,138.0,14.86,17,0.3758660930477475,0.6772351303785212,0.6415420025464389,0.6533455615144378,0.6970041915854283,,2.1398790864012365
NGC3953,0.9020586546335275,0.5559634170808012,0.42445152780008444,0.018296761087659475,224.0,15.68,8,,0.39127759901705167,0.4179169794242161,0.3863767484051265,0.4311160355548468,,2.3502480183341627
NGC3972,0.7176776979136266,0.5537898495453671,0.6793981903291545,0.10032475364996428,134.0,8.72,10,0.4508246823290091,0.6486040981637464,0.6513220533631375,0.5930622260521957,0.6631719388129563,,2.1271047983648077
NGC3992,0.9623402406711257,0.5419272678136712,0.7377076779267862,0.07168061667480437,272.0,46.02,9,0.6132611529331424,0.5749571999426303,0.6291011788962644,0.6851526703667883,0.7411973382000999,,2.4345689040341987
NGC4010,0.8205023284031003,0.463716551196588,0.6373193094153934,0.14092291739852197,129.0,10.47,12,0.4722021042144671,0.2467479843664347,0.5040160393119422,0.6394791243931055,0.6309163834996017,,2.110589710299249
NGC4013,0.6750624131662936,0.7325437959937732,0.7758559272822397,0.05779216478883173,198.0,31.01,36,0.375991513847156,0.3745163072772576,0.5506188792435874,0.6938980806091898,0.7750142164191632,,2.296665190261531
NGC4088,0.7983393639057275,0.4756238393188629,0.4436945142290823,0.08355416292408152,182.0,21.48,12,-0.09136538307560538,-0.1183908362960131,0.08716220009660332,0.25631414597021474,0.3990770005680917,,2.2600713879850747
NGC4100,0.7028884399504134,0.5508491006647589,0.6970883868993981,0.06803692959222125,195.0,22.76,24,0.5352885929135147,0.46864851283092257,0.6040977398630994,0.6622878219777592,0.6923240600072949,,2.290034611362518
NGC4157,0.7903122911920203,0.4533591627863737,0.679912100368783,0.09301727248623769,201.0,29.61,17,5.9856925039292186e-05,0.21311181192101938,0.40533037190641785,0.5712219033564778,0.6684615553005736,,2.303196057420489
NGC4183,0.7207470837088928,0.5137229408116155,0.777457093162149,0.33547476332639514,115.0,21.02,23,0.7001062019154947,0.6980605921373292,0.6622417405068506,0.7192328864065323,0.7706335473204127,,2.060697840353612
